,step,time_stamp,eval/avg_episodic_length,eval/avg_episodic_return,eval/avg_winrate,charts/avg_episodic_return,charts/avg_episodic_length,env,run
0,58578944,1693558521.8547878,17.139999389648438,16.844999313354492,0.4099999964237213,,,Sudoku-nostop0,AnealLRMuchLonger
1,58630144,1693558540.3080623,17.510000228881836,17.260000228881836,0.5,78.27777862548828,29.72222137451172,Sudoku-nostop0,AnealLRMuchLonger
2,58681344,1693558561.5546422,15.529999732971191,15.220000267028809,0.3799999952316284,,,Sudoku-nostop0,AnealLRMuchLonger
3,58732544,1693558581.8230855,17.940000534057617,17.68000030517578,0.47999998927116394,,,Sudoku-nostop0,AnealLRMuchLonger
4,58783744,1693558600.2188756,15.449999809265137,15.15999984741211,0.41999998688697815,,,Sudoku-nostop0,AnealLRMuchLonger
5,58834944,1693558620.0099638,16.889999389648438,16.639999389648438,0.5,,,Sudoku-nostop0,AnealLRMuchLonger
6,58886144,1693558637.553264,18.1200008392334,17.8700008392334,0.5,74.73529052734375,30.323530197143555,Sudoku-nostop0,AnealLRMuchLonger
7,58937344,1693558660.9070199,17.06999969482422,16.80500030517578,0.4699999988079071,,,Sudoku-nostop0,AnealLRMuchLonger
8,58988544,1693558680.8882198,16.68000030517578,16.405000686645508,0.44999998807907104,,,Sudoku-nostop0,AnealLRMuchLonger
9,59039744,1693558699.708411,15.890000343322754,15.595000267028809,0.4099999964237213,,,Sudoku-nostop0,AnealLRMuchLonger
10,59090944,1693558717.9551482,16.139999389648438,15.850000381469727,0.41999998688697815,77.96969604492188,30.030303955078125,Sudoku-nostop0,AnealLRMuchLonger
11,59142144,1693558738.4927423,17.959999084472656,17.69499969482422,0.4699999988079071,,,Sudoku-nostop0,AnealLRMuchLonger
12,59193344,1693558758.2150524,18.770000457763672,18.545000076293945,0.550000011920929,,,Sudoku-nostop0,AnealLRMuchLonger
13,59244544,1693558776.8189077,14.390000343322754,14.0649995803833,0.3499999940395355,,,Sudoku-nostop0,AnealLRMuchLonger
14,59295744,1693558795.1076317,16.5,16.239999771118164,0.47999998927116394,,,Sudoku-nostop0,AnealLRMuchLonger
15,59346944,1693558813.3846219,17.280000686645508,17.010000228881836,0.46000000834465027,,,Sudoku-nostop0,AnealLRMuchLonger
16,59398144,1693558830.2731516,18.0,17.760000228881836,0.5199999809265137,78.32353210449219,29.676469802856445,Sudoku-nostop0,AnealLRMuchLonger
17,59449344,1693558848.4913325,16.940000534057617,16.68000030517578,0.47999998927116394,79.19444274902344,28.80555534362793,Sudoku-nostop0,AnealLRMuchLonger
18,59500544,1693558868.1791909,14.6899995803833,14.345000267028809,0.3100000023841858,,,Sudoku-nostop0,AnealLRMuchLonger
19,59551744,1693558885.1023552,16.709999084472656,16.450000762939453,0.47999998927116394,78.88571166992188,29.114286422729492,Sudoku-nostop0,AnealLRMuchLonger
20,59602944,1693558903.3254297,17.639999389648438,17.389999389648438,0.5,78.85294342041016,29.147058486938477,Sudoku-nostop0,AnealLRMuchLonger
21,59654144,1693558924.662336,16.93000030517578,16.670000076293945,0.47999998927116394,,,Sudoku-nostop0,AnealLRMuchLonger
22,59705344,1693558944.5042984,17.799999237060547,17.56999969482422,0.5400000214576721,,,Sudoku-nostop0,AnealLRMuchLonger
23,59756544,1693558963.1418943,17.459999084472656,17.219999313354492,0.5199999809265137,,,Sudoku-nostop0,AnealLRMuchLonger
24,59807744,1693558981.6229074,17.489999771118164,17.2450008392334,0.5099999904632568,,,Sudoku-nostop0,AnealLRMuchLonger
25,59858944,1693558999.6256392,14.109999656677246,13.789999961853027,0.36000001430511475,,,Sudoku-nostop0,AnealLRMuchLonger
26,59910144,1693559017.0509937,15.399999618530273,15.114999771118164,0.4300000071525574,79.13888549804688,28.86111068725586,Sudoku-nostop0,AnealLRMuchLonger
27,59961344,1693559037.0443056,14.390000343322754,14.050000190734863,0.3199999928474426,,,Sudoku-nostop0,AnealLRMuchLonger
28,60012544,1693559055.8298666,16.739999771118164,16.459999084472656,0.4399999976158142,,,Sudoku-nostop0,AnealLRMuchLonger
29,60063744,1693559076.0525546,17.0,16.7450008392334,0.49000000953674316,,,Sudoku-nostop0,AnealLRMuchLonger
30,60114944,1693559095.0494251,16.420000076293945,16.155000686645508,0.4699999988079071,78.29412078857422,29.705883026123047,Sudoku-nostop0,AnealLRMuchLonger
31,60166144,1693559116.1804988,16.290000915527344,16.0,0.41999998688697815,,,Sudoku-nostop0,AnealLRMuchLonger
32,60217344,1693559135.7033086,17.530000686645508,17.270000457763672,0.47999998927116394,,,Sudoku-nostop0,AnealLRMuchLonger
33,60268544,1693559154.1798468,16.100000381469727,15.800000190734863,0.4000000059604645,78.02857208251953,29.97142791748047,Sudoku-nostop0,AnealLRMuchLonger
34,60319744,1693559173.5231135,14.630000114440918,14.3149995803833,0.3700000047683716,78.11428833007812,29.885713577270508,Sudoku-nostop0,AnealLRMuchLonger
35,60370944,1693559193.2322865,16.950000762939453,16.68000030517578,0.46000000834465027,,,Sudoku-nostop0,AnealLRMuchLonger
36,60422144,1693559209.8276725,17.209999084472656,16.954999923706055,0.49000000953674316,76.83870697021484,31.161291122436523,Sudoku-nostop0,AnealLRMuchLonger
