,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,0.6218441128730774,1.1218441724777222,0.0002500000118743628,0.08498361706733704,-0.014949548989534378,3.2352170944213867,0.008227626793086529,0.0003252304159104824,0.0,-0.13337242603302002,209.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
2048,0.7222825884819031,1.1141303777694702,0.0002499744005035609,0.06099759042263031,-0.011999579146504402,3.2398500442504883,0.008699698373675346,0.0005684345960617065,0.000244140625,0.0010924935340881348,352.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
3072,0.7183098793029785,1.1105091571807861,0.000249948789132759,19.434669494628906,-0.008307885378599167,3.2410566806793213,0.012108846567571163,0.0012706168927252293,0.00390625,-0.003252387046813965,458.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
4096,0.5952890515327454,1.0952891111373901,0.0002499232068657875,0.051421552896499634,-0.035566918551921844,3.232175350189209,0.02303333394229412,0.004924999549984932,0.1064453125,-0.07751822471618652,536.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
5120,0.6191256642341614,1.1191257238388062,0.0002498975954949856,0.046376071870326996,-0.0358116552233696,3.2051286697387695,0.02127450704574585,0.005285017192363739,0.154541015625,-0.05056655406951904,599.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
6144,0.6106290817260742,1.1106290817260742,0.00024987198412418365,0.05969031900167465,-0.04184615984559059,3.221181869506836,0.021339278668165207,0.006590721663087606,0.141357421875,-0.0501936674118042,649.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
7168,0.72921222448349,1.1203501224517822,0.0002498464018572122,19.401538848876953,-0.007887883111834526,3.205855369567871,0.01060805656015873,0.0022054084111005068,0.031494140625,-0.0029810667037963867,691.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
8192,0.7119740843772888,1.1046385765075684,0.00024982079048641026,0.04929275065660477,-0.026075318455696106,3.2083334922790527,0.011060920543968678,0.0034228460863232613,0.0625,0.0009943246841430664,726.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
9216,0.8380743861198425,1.1203501224517822,0.00024979517911560833,36.720237731933594,-0.00946405902504921,3.1881072521209717,0.006186990533024073,0.0013087389525026083,0.016357421875,0.0007293820381164551,755.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
10240,0.7425414323806763,1.132596731185913,0.00024976959684863687,0.05988334119319916,-0.028960490599274635,3.203982353210449,0.01175802294164896,0.0024988302029669285,0.067626953125,0.0010782480239868164,779.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
11264,0.8164693117141724,1.1022604703903198,0.00024974398547783494,35.07020568847656,-0.008962534368038177,3.1923842430114746,0.004644837696105242,0.003083449089899659,0.114501953125,0.0007444024085998535,803.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
12288,0.7513935565948486,1.1404682397842407,0.000249718374107033,0.06721733510494232,-0.026201874017715454,3.1753101348876953,0.009503042325377464,0.0021339277736842632,0.035400390625,-0.002702474594116211,825.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
13312,0.6083423495292664,1.1083424091339111,0.00024969279184006155,0.06337529420852661,-0.037832316011190414,3.188873291015625,0.010405484586954117,0.006457170471549034,0.1650390625,-0.04004538059234619,843.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
14336,0.9608168005943298,1.131346583366394,0.0002496671804692596,17.400657653808594,-0.007033027708530426,3.185445785522461,0.007557978387922049,0.001907840371131897,0.02099609375,0.0021065473556518555,858.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
15360,0.7319079041481018,1.1228070259094238,0.0002496415690984577,36.74067687988281,-0.010424325242638588,3.187417984008789,0.007875869981944561,0.0025973902083933353,0.036376953125,-0.0010384321212768555,872.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
16384,0.7303063273429871,1.1214442253112793,0.0002496159868314862,0.05465685576200485,-0.013444371521472931,3.2007102966308594,0.006735953502357006,0.001960765803232789,0.035888671875,-0.001078486442565918,886.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
17408,0.8521594405174255,1.13178288936615,0.0002495903754606843,19.29253578186035,-0.006738658994436264,3.182021141052246,0.003129941876977682,0.0028203236870467663,0.041015625,0.0006864070892333984,899.0,Sudoku-x1__SingleConvActorOnehot__1__1693226088
