epoch,accuracy,loss,sudoku_win_rate,val_sudoku_win_rate/easy,val_sudoku_win_rate/extreme,val_sudoku_win_rate/hard,val_sudoku_win_rate/insane,val_sudoku_win_rate/medium
71,0.99998939037323,0.0001591211330378428,0.9986527562141418,0.99996,0.99393106,0.99872,0.9859,0.9998318
72,0.9999901056289673,0.00015327963046729565,0.9986883401870728,1.0,0.99489653,0.99904,0.98724,0.9998878
73,0.9999900460243225,0.00015385726874228567,0.9987342357635498,1.0,0.9941724,0.99896,0.98746,0.99979436
74,0.9999904036521912,0.00016167214198503643,0.9987020492553711,1.0,0.9947586,0.99888,0.98914,0.99985045
75,0.9999904632568359,0.00016361003508791327,0.9987232685089111,1.0,0.99513793,0.999,0.98788,0.9997757
76,0.9999908208847046,0.0001583396369824186,0.9987589120864868,1.0,0.9948621,0.9988,0.98866,0.99986917
